ID,predictions,user_vote_with_prediction,user_vote_without_prediction
0,Cat,,
1,Wild,,
2,Wild,,
3,Cat,,
4,Cat,,
5,Dog,,
6,Dog,,
7,Cat,,
8,Cat,,
9,Dog,,
10,Dog,,
11,Dog,,
12,Cat,,
13,Wild,,
14,Cat,,
15,Cat,,
16,Cat,,
17,Cat,,
18,Cat,,
19,Cat,,
20,Cat,,
21,Cat,,
22,Cat,,
23,Cat,,
24,Cat,,
25,Wild,,
26,Cat,,
27,Cat,,
28,Cat,,
29,Dog,,
30,Dog,,
31,Dog,,
32,Dog,,
33,Dog,,
34,Cat,,
35,Dog,,
36,Dog,,
37,Dog,,
38,Dog,,
39,Dog,,
40,Dog,,
41,Dog,,
42,Cat,,
43,Cat,,
44,Cat,,
45,Wild,,
46,Cat,,
47,Cat,,
48,Cat,,
49,Cat,,
50,Cat,,
51,Wild,,
52,Cat,,
53,Cat,,
54,Cat,,
55,Wild,,
56,Wild,,
57,Cat,,
58,Cat,,
59,Cat,,
60,Cat,,
61,Cat,,
62,Cat,,
63,Wild,,
64,Wild,,
65,Wild,,
66,Cat,,
67,Cat,,
68,Wild,,
69,Wild,,
70,Cat,,
71,Cat,,
72,Cat,,
73,Wild,,
74,Wild,,
75,Cat,,
76,Wild,,
77,Cat,,
78,Wild,,
79,Wild,,
80,Cat,,
81,Cat,,
82,Cat,,
83,Wild,,
84,Cat,,
85,Cat,,
86,Dog,,
87,Wild,,
88,Cat,,
89,Cat,,
90,Dog,,
91,Dog,,
92,Wild,,
93,Cat,,
94,Wild,,
95,Dog,,
96,Dog,,
97,Cat,,
98,Cat,,
99,Dog,,
100,Dog,,
101,Cat,,
102,Wild,,
103,Wild,,
104,Cat,,
105,Dog,,
106,Dog,,
107,Wild,,
108,Wild,,
109,Cat,,
110,Cat,,
111,Dog,,
112,Dog,,
113,Dog,,
114,Dog,,
115,Wild,,
116,Cat,,
117,Cat,,
118,Wild,,
119,Wild,,
120,Dog,,
121,Dog,,
122,Cat,,
123,Cat,,
124,Wild,,
125,Cat,,
126,Cat,,
127,Cat,,
128,Cat,,
129,Wild,,
130,Wild,,
131,Wild,,
132,Wild,,
133,Dog,,
134,Dog,,
135,Wild,,
136,Dog,,
137,Wild,,
138,Dog,,
139,Dog,,
140,Cat,,
141,Cat,,
142,Wild,,
143,Dog,,
144,Cat,,
145,Dog,,
146,Dog,,
147,Wild,,
